user_id,name,region,signup_date,account_type,email
user_100,User 2824,APAC,2025-08-11,premium,user0@example.com
user_101,User 1409,US-East,2026-01-08,free,user1@example.com
user_102,User 5506,US-East,2025-06-18,standard,user2@example.com
user_103,User 5012,US-East,2026-02-03,free,user3@example.com
user_104,User 4657,APAC,2025-12-15,free,user4@example.com
user_105,User 3286,EU,2025-08-11,premium,user5@example.com
user_106,User 2679,US-East,2025-08-29,free,user6@example.com
user_107,User 9935,US-West,2025-11-12,free,user7@example.com
user_108,User 2424,US-West,2025-10-09,free,user8@example.com
user_109,User 7912,US-West,2025-09-11,standard,user9@example.com
user_110,User 1520,LATAM,2025-11-21,free,user10@example.com
user_111,User 1488,APAC,2026-01-02,free,user11@example.com
user_112,User 2535,US-West,2025-10-16,premium,user12@example.com
user_113,User 4582,APAC,2025-08-24,free,user13@example.com
user_114,User 4811,US-West,2026-01-27,standard,user14@example.com
user_115,User 9279,EU,2025-06-08,standard,user15@example.com
user_116,User 1434,APAC,2025-06-30,free,user16@example.com
user_117,User 4257,US-West,2026-01-11,free,user17@example.com
user_118,User 9928,US-East,2026-02-04,premium,user18@example.com
user_119,User 7873,APAC,2025-08-06,free,user19@example.com
user_120,User 4611,LATAM,2025-07-16,premium,user20@example.com
user_121,User 8359,US-East,2025-10-27,free,user21@example.com
user_122,User 5557,US-East,2026-02-02,free,user22@example.com
user_123,User 1106,LATAM,2025-08-07,standard,user23@example.com
user_124,User 3615,US-East,2025-06-10,free,user24@example.com
user_125,User 7924,US-East,2025-06-28,free,user25@example.com
user_126,User 6574,US-West,2025-10-31,premium,user26@example.com
user_127,User 5552,US-West,2025-09-20,premium,user27@example.com
user_128,User 3547,APAC,2025-08-28,free,user28@example.com
user_129,User 4527,APAC,2025-12-04,standard,user29@example.com
user_130,User 6514,APAC,2025-12-19,free,user30@example.com
user_131,User 2674,US-West,2025-08-20,premium,user31@example.com
user_132,User 2519,APAC,2025-09-20,standard,user32@example.com
user_133,User 7224,US-East,2025-11-03,standard,user33@example.com
user_134,User 2584,US-West,2025-10-09,free,user34@example.com
user_135,User 6881,APAC,2025-06-30,free,user35@example.com
user_136,User 6635,US-East,2025-09-07,standard,user36@example.com
user_137,User 5333,APAC,2026-01-17,premium,user37@example.com
user_138,User 1711,EU,2025-10-26,premium,user38@example.com
user_139,User 8527,APAC,2025-07-19,standard,user39@example.com
user_140,User 9785,EU,2025-08-05,standard,user40@example.com
user_141,User 3045,APAC,2025-06-12,free,user41@example.com
user_142,User 7201,LATAM,2025-11-29,standard,user42@example.com
user_143,User 2291,APAC,2025-09-20,standard,user43@example.com
user_144,User 5803,US-West,2025-06-01,standard,user44@example.com
user_145,User 6925,US-West,2025-10-12,free,user45@example.com
user_146,User 4150,EU,2026-01-23,premium,user46@example.com
user_147,User 2139,US-West,2025-12-24,standard,user47@example.com
user_148,User 1750,US-East,2025-10-16,free,user48@example.com
user_149,User 4733,LATAM,2025-11-23,premium,user49@example.com
user_150,User 5741,LATAM,2025-12-02,free,user50@example.com
user_151,User 2307,US-East,2026-01-27,free,user51@example.com
user_152,User 4814,EU,2025-12-07,free,user52@example.com
user_153,User 2654,US-East,2025-12-06,free,user53@example.com
user_154,User 7227,US-East,2025-11-19,premium,user54@example.com
user_155,User 5554,LATAM,2025-07-21,free,user55@example.com
user_156,User 8428,APAC,2025-09-02,standard,user56@example.com
user_157,User 6977,LATAM,2025-09-19,free,user57@example.com
user_158,User 3664,LATAM,2025-06-18,premium,user58@example.com
user_159,User 7065,US-West,2026-01-29,free,user59@example.com
user_160,User 6820,US-East,2025-11-18,free,user60@example.com
user_161,User 4432,LATAM,2026-01-22,free,user61@example.com
user_162,User 5374,US-East,2025-08-24,free,user62@example.com
user_163,User 2169,US-West,2025-11-07,standard,user63@example.com
user_164,User 3803,US-East,2025-08-20,premium,user64@example.com
user_165,User 9751,LATAM,2025-11-17,premium,user65@example.com
user_166,User 5010,US-East,2026-01-04,premium,user66@example.com
user_167,User 3677,US-West,2025-07-02,premium,user67@example.com
user_168,User 8573,APAC,2025-12-02,premium,user68@example.com
user_169,User 7216,US-East,2026-01-17,free,user69@example.com
user_170,User 5422,LATAM,2025-08-16,premium,user70@example.com
user_171,User 4598,US-West,2025-10-08,standard,user71@example.com
user_172,User 6313,LATAM,2025-08-19,premium,user72@example.com
user_173,User 1916,LATAM,2025-11-18,premium,user73@example.com
user_174,User 4752,US-East,2025-09-13,free,user74@example.com
user_175,User 1525,LATAM,2025-08-23,free,user75@example.com
user_176,User 6168,US-East,2025-09-12,free,user76@example.com
